,,,tripduration,tripduration,tripduration,tripduration,tripduration
Park Ave & St Edwards St,40.69608941,-73.97803415,1193,4296880,1369409,61,3601.7435037720034
Park Pl & Church St,40.71334184275907,-74.00935515761375,6561,6136913,142541,61,935.362444749276
Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001,2323,2706081,245705,70,1164.9078777442962
Park Pl & Vanderbilt Ave,40.6767,-73.969024,5387,4298551,116100,61,797.9489511787637
Pearl St & Anchorage Pl,40.70281858,-73.98765762,6357,8632902,493004,61,1358.0151014629541
Pearl St & Hanover Square,40.7047177,-74.00926027,7396,8552519,333196,61,1156.3708761492699
Peck Slip & Front St,40.707873,-74.00166999999999,11393,14197792,169117,61,1246.1855525322567
Perry St & Bleecker St,40.73535398,-74.00483091,8910,9570265,1103843,63,1074.1038159371492
Pershing Square North,40.751872999999996,-73.97770600000001,43123,37210008,584342,61,862.880782876887
Pershing Square South,40.751581,-73.97791,15955,13252792,443011,61,830.6356628016296
Picnic Point,40.68512559515415,-74.02535319328308,3031,4571127,71467,69,1508.1250412405147
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,21635,27213062,680049,61,1257.8258377628842
Pierrepont St & Monroe Pl,40.69535693320225,-73.99344027042389,3088,3259269,536295,62,1055.4627590673574
Pike St & E Broadway,40.71406667,-73.99293911,8410,7183092,324455,61,854.1131985731272
Pike St & Monroe St,40.71173107,-73.99193043,6579,6402748,214937,62,973.2099103207174
Pioneer St & Richards St,40.677774799999995,-74.0094613,787,1151313,351254,64,1462.9135959339262
Pioneer St & Van Brunt St,40.679043,-74.011169,2516,3503132,314619,72,1392.341812400636
Pitt St & Stanton St,40.71926081,-73.98178024,2384,4114507,887681,61,1725.8838087248323
Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,6450,12289806,2769536,61,1905.3962790697674
Pleasant Ave & E 116 St,40.794987899999995,-73.9333349,4832,4396284,103398,69,909.8269867549669
Pleasant Ave & E 120 St,40.7974772,-73.9311847,2009,4190115,1974452,64,2085.671976107516
Powers St & Olive St,40.713229999999996,-73.93894,1133,1029448,70906,62,908.603706972639
President St & Henry St,40.6828003,-73.99990419,2810,2283985,65571,63,812.8060498220641
Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,4739,5109915,165436,61,1078.268622072167
Prospect Pl & 6 Ave,40.6793307,-73.97519523,3064,2704724,172960,64,882.7428198433421
Prospect Pl & Underhill Ave,40.6769694,-73.96579,2878,2927273,666409,63,1017.1205698401668
Pulaski St & Marcus Garvey Blvd,40.693398200000004,-73.939877,1591,9535822,2363858,78,5993.602765556254
Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977,1592,8736155,2397579,74,5487.534547738694
Putnam Ave & Throop Ave,40.6851532,-73.94111,2244,8799070,1330446,70,3921.1541889483065
Queens Plaza North & Crescent St,40.75110165,-73.94073717,8156,10297578,326359,61,1262.5769985286906
Railroad Ave & Kay Ave,40.70531194,-73.97100056,327,369451,50533,66,1129.8195718654433
Reade St & Broadway,40.71450451,-74.00562789,7054,6165466,98495,61,874.0382761553728
Richards St & Delavan St,40.67943270000001,-74.00785041,966,914948,25837,63,947.1511387163561
Richardson St & N Henry St,40.71907891179564,-73.94223690032959,4248,2982512,53858,61,702.0979284369115
Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,9760,13928504,1157377,61,1427.1008196721311
Riverside Dr & W 104 St,40.8013434,-73.97114574390001,4706,7291056,72017,62,1549.3106672333192
Riverside Dr & W 72 St,40.780577990103346,-73.98562431335448,9320,12247943,247976,61,1314.156974248927
Riverside Dr & W 78 St,40.78414472,-73.98362492,5753,8497950,162214,61,1477.1336693898836
Riverside Dr & W 82 St,40.78720869,-73.98128127,5993,8386985,232240,63,1399.4635407975973
Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063,4595,8220250,1559824,62,1788.955386289445
Rivington St & Chrystie St,40.72110063,-73.99192540000001,10353,14789442,1075119,61,1428.5175311503913
Rivington St & Ridge St,40.71850211,-73.98329859,9410,9631360,1226594,61,1023.5239107332625
Roebling St & N 4 St,40.714690000000004,-73.95739,5139,4885913,53671,61,950.7517026658883
Rogers Ave & Sterling St,40.6630619,-73.95387459999999,1632,7758281,1729407,79,4753.848651960784
S 3 St & Bedford Ave,40.71260486,-73.96264403,8414,8745193,548711,61,1039.3621345376753
S 4 St & Rodney St,40.709340000000005,-73.95608,3995,5422590,767027,61,1357.3441802252817
S 4 St & Wythe Ave,40.71285887,-73.96590294,13026,18726570,1265749,61,1437.6301243666512
S 5 Pl & S 5 St,40.710451,-73.960876,14581,22093537,1732505,61,1515.2278307386325
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,3852,5018140,1072234,61,1302.7362409138111
Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,7194,8297009,962962,62,1153.323463997776
Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,5339,6264593,1700888,64,1173.364487731785
Scholes St & Manhattan Ave,40.70870368,-73.9448625,4215,6722759,1350949,62,1594.9606168446026
Sharon St & Olive St,40.715353,-73.93856,1360,1554113,164827,75,1142.7301470588236
Sigourney St & Columbia St,40.67267243410948,-74.00879524648191,1064,1245330,78074,75,1170.422932330827
Smith St & 3 St,40.678724200000005,-73.99599099,3431,2461045,44456,62,717.2967064995628
Smith St & 9 St,40.67469570000001,-73.99785768,3992,4325430,392153,69,1083.5245490981963
Soissons Landing,40.69231660719192,-74.01486575603484,4348,8875271,159580,64,2041.2306807727691
South End Ave & Liberty St,40.711512,-74.01575600000001,26392,31111887,400633,61,1178.8377917550772
South St & Gouverneur Ln,40.70355377,-74.00670227,15846,20684231,439944,61,1305.3282216332198
South St & Whitehall St,40.70122128,-74.01234218,8911,12778800,277016,61,1434.04780608237
Spruce St & Nassau St,40.71146364,-74.00552427,7466,8957753,161905,61,1199.8061880525047
St James Pl & Oliver St,40.71307916,-73.99851193,6724,5921772,161602,62,880.6918500892326
St James Pl & Pearl St,40.71117416,-74.00016545,3749,3588674,461098,61,957.2349959989331
St Johns Pl & Washington Ave,40.6737236,-73.9631611,3472,6148608,1419130,65,1770.9124423963133
St Marks Pl & 1 Ave,40.72779126,-73.98564945,18355,17717349,2199451,61,965.2600926178153
St Marks Pl & 2 Ave,40.7284186,-73.98713956,16084,15050014,1206002,61,935.7133797562796
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,4684,7134019,1177572,61,1523.061272416738
St. Nicholas Ave & W 126 St,40.8114323,-73.95187759999999,3546,11977497,1064469,62,3377.748730964467
Stagg St & Morgan Ave,40.710681,-73.93372,702,1230186,420283,63,1752.4017094017095
Stagg St & Union Ave,40.70877084,-73.95095259,4736,4980245,683087,64,1051.5720016891892
Stanton St & Chrystie St,40.72229346,-73.99147535,13750,15675813,786268,61,1140.0591272727272
Stanton St & Mangin St,40.71782143,-73.97628939,5594,7572723,694786,62,1353.7223811226313
Stanton St & Norfolk St,40.720746999999996,-73.986274,9486,10220774,1585971,61,1077.4587813620071
State St & Smith St,40.68926942,-73.98912867,5266,4935303,425327,62,937.2014812001519
Steinway St & 23 Ave,40.771393700000004,-73.9077436,1436,1595414,177642,75,1111.0125348189415
Steinway St & 28 Ave,40.7656251,-73.9136695,2011,1504674,40664,75,748.2217802088513
Sterling Pl & Bedford Ave,40.672695000000004,-73.954131,2780,6600533,1568007,64,2374.2924460431655
Sterling St & Bedford Ave,40.6627059,-73.9569115,813,3743638,1081196,63,4604.7207872078725
Stockholm St & Wilson Ave,40.699304,-73.92304399999999,472,1185439,366471,78,2511.523305084746
Stuyvesant Walk & 1 Av Loop,40.732339777151054,-73.97898383438587,111,111968,8030,80,1008.7207207207207
Suffolk St & Stanton St,40.72066442,-73.98517977,12059,13775595,1268426,62,1142.3496973215026
Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,588,4435272,2064834,61,7542.9795918367345
Sullivan St & Washington Sq,40.73047747,-73.99906065,14980,13953676,869351,61,931.4870493991989
Suydam St & Knickerbocker Ave,40.702013,-73.923769,1405,2293885,188885,63,1632.658362989324
Throop Ave & Myrtle Ave,40.69622937,-73.94371094,1191,1193496,9164,63,1002.095717884131
Tompkins Ave & Hopkins St,40.69957608,-73.94708417,1719,5898853,2100935,100,3431.56079115765
Underhill Ave & Lincoln Pl,40.674012299999994,-73.9671457,4061,3870493,246161,63,953.0886481162275
Underhill Ave & Pacific St,40.6804836,-73.9646795,2970,2397256,32502,84,807.1569023569024
Union Ave & Jackson St,40.7160751,-73.95202900000001,2523,2873707,240964,61,1139.0039635354735
Union Ave & N 12 St,40.71924,-73.95241999999999,6394,5670603,121005,62,886.8631529558961
Union Ave & Wallabout St,40.70029511,-73.95032283,1834,2759308,848813,62,1504.5299890948745
Union St & 4 Ave,40.6772744,-73.98282002,4306,4583879,608924,61,1064.532977241059
Union St & Bedford Ave,40.6691783,-73.9554162,1242,3326846,1254697,70,2678.6199677938807
Union St & Nevins St,40.67909799721684,-73.98765474557877,3180,3348751,347814,63,1053.0663522012578
University Pl & E 14 St,40.73492695,-73.99200509,17824,13871554,339400,61,778.2514587073608
University Pl & E 8 St,40.73143724085228,-73.99490341544151,11055,8319230,219662,61,752.5309814563545
Van Brunt St & Van Dyke St,40.675832943912894,-74.01472628116608,3420,5355388,586711,61,1565.9029239766082
Van Brunt St & Wolcott St,40.6773429,-74.01275056,2211,2498138,85735,61,1129.867933061963
Vernon Blvd & 10 St,40.7671863,-73.9373554,2107,2290148,33852,70,1086.9235880398671
Vernon Blvd & 30 Rd,40.770845,-73.93417099999999,1912,2310628,448399,66,1208.4874476987447
Vernon Blvd & 31 Ave,40.7692475,-73.93545040000001,1966,1866222,141077,61,949.2482197355035
Vernon Blvd & 41 Rd,40.7552433,-73.94856779999999,1528,2978380,593795,63,1949.2015706806283
Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3106,3500675,476281,61,1127.068576947843
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,8022,5448596,131893,61,679.2066816255298
Verona Pl & Fulton St,40.680356084043396,-73.94767910242079,2292,5566932,1370214,66,2428.8534031413615
Vesey Pl & River Terrace,40.715337899999994,-74.01658354,21378,25581564,937041,61,1196.6303676676957
W 100 St & Broadway,40.797372100000004,-73.97041192,6752,7139380,253405,65,1057.3726303317535
W 100 St & Manhattan Ave,40.795,-73.9645,4610,5121798,178464,62,1111.0190889370933
W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028,3302,5878537,2021332,66,1780.2958812840702
W 106 St & Amsterdam Ave,40.80083629999999,-73.9664492472,3684,3856233,104622,62,1046.751628664495
W 106 St & Central Park West,40.798185600000004,-73.96059090060001,6033,8107433,216033,62,1343.8476711420521
W 107 St & Columbus Ave,40.7997568,-73.9621128676,2598,4021869,903071,70,1548.0635103926097
W 11 St & 6 Ave,40.73532427,-73.99800419,13193,10222468,407586,61,774.8402940953536
W 110 St & Amsterdam Ave,40.802692,-73.96295,4467,5310323,241594,66,1188.7895679426908
W 113 St & Broadway,40.805973,-73.964928,3014,5268980,985537,61,1748.1685467816856
W 116 St & Amsterdam Ave,40.8067581,-73.9607082,2737,2772784,23156,61,1013.0741687979539
W 116 St & Broadway,40.8082,-73.9641,3023,3467801,21759,71,1147.1389348329474
W 12 St & W 4 St,40.73756121181137,-74.00398269295692,3331,3271289,418209,61,982.0741519063345
W 120 St & Claremont Ave,40.8109494,-73.9634,2267,5114849,1307918,62,2256.219232465814
W 129 St & Convent Ave,40.81439443791581,-73.95324736833571,1486,3053220,1156672,63,2054.656796769852
W 13 St & 5 Ave,40.735445,-73.99431,15121,11477412,327904,61,759.0378943191588
W 13 St & 7 Ave,40.73781509,-73.99994661,16170,12818081,631583,61,792.7075448361163
W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,13999,16674040,633261,61,1191.0879348524895
W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,11280,8206500,139758,61,727.5265957446809
W 15 St & 7 Ave,40.73935542,-73.99931783,16573,12703367,311246,61,766.5098051046883
W 16 St & 8 Ave,40.74102150900266,-74.001384973526,16697,12157525,256639,62,728.1263101155896
W 16 St & The High Line,40.74334935,-74.00681753,16906,16023814,250720,61,947.8181710635278
W 17 St & 8 Ave,40.74177603,-74.00149746,6839,5610553,323848,61,820.3762245942389
W 18 St & 6 Ave,40.73971301,-73.99456405,23140,17962801,437344,61,776.2662489196197
W 18 St & 9 Ave,40.7435337324616,-74.00367558002472,10065,8961545,249653,63,890.3671137605564
W 20 St & 11 Ave,40.746745000000004,-74.007756,28371,27654357,364519,61,974.7402981918156
W 20 St & 7 Ave,40.74238787,-73.99726235,16924,13147746,687362,61,776.8698889151501
W 20 St & 8 Ave,40.74345335,-74.00004031,15896,13258433,512416,61,834.0735405133366
W 21 St & 6 Ave,40.74173969,-73.99415556,23921,18886893,785285,61,789.5528196981732
W 22 St & 10 Ave,40.74691959,-74.00451887,21494,19646578,543230,61,914.0494091374337
W 22 St & 8 Ave,40.74475148,-73.99915362,20250,17420736,692163,61,860.2832592592592
W 24 St & 7 Ave,40.74487634,-73.99529885,19223,15295341,1289928,61,795.6791863913021
W 25 St & 6 Ave,40.74395411,-73.99144871,18562,14002387,314130,61,754.357666199763
W 26 St & 10 Ave,40.749717753,-74.002950346,16457,15314689,1144883,61,930.588138785927
W 26 St & 8 Ave,40.74734825,-73.99723551,17972,15380497,980513,61,855.803305141331
W 27 St & 10 Ave,40.750181563256824,-74.00218427181244,17352,16332446,989450,61,941.2428538497003
W 27 St & 7 Ave,40.746646999999996,-73.993915,17836,14279707,213270,62,800.6115160349855
W 31 St & 7 Ave,40.749156,-73.9916,23787,18760948,123322,61,788.7059318114937
W 33 St & 7 Ave,40.75019995,-73.99093085,26768,23661936,677691,61,883.9635385534967
W 34 St & 11 Ave,40.75594159,-74.0021163,21628,27133720,178001,61,1254.5644534862215
W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389,8404,7429736,239235,63,884.0713945740124
W 37 St & 10 Ave,40.75660359,-73.9979009,12560,11191504,269153,61,891.0433121019108
W 37 St & 5 Ave,40.75038009,-73.98338988,11995,9564014,108943,65,797.3333889120466
W 38 St & 8 Ave,40.75466591,-73.99138152,23405,22885387,2049446,61,977.7990600299081
W 4 St & 7 Ave S,40.73401143,-74.00293877,18323,16815386,313308,61,917.7201331659662
W 41 St & 8 Ave,40.75640548,-73.9900262,23885,23068743,1623720,61,965.8255390412393
W 42 St & 8 Ave,40.75756989999999,-73.99098507,14000,12958776,778880,61,925.6268571428571
W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,12931,11715592,120155,62,906.0081973551929
W 43 St & 10 Ave,40.76009437,-73.99461843,13739,14139450,631994,61,1029.1469539267778
W 43 St & 6 Ave,40.75527307,-73.98316936,11987,10861113,845035,61,906.0743305247352
W 44 St & 5 Ave,40.75500254,-73.98014437,11392,9566348,90656,61,839.7426264044943
W 45 St & 6 Ave,40.7568001,-73.98291153,8239,7670297,399437,61,930.9742687219323
W 45 St & 6 Ave -,40.75668720603179,-73.98257732391356,3166,3056549,348780,62,965.4292482627922
W 45 St & 8 Ave,40.75929124,-73.98859651,14177,13719893,574339,61,967.7571418494745
W 46 St & 11 Ave,40.76341379,-73.99667444,12965,13252826,79370,61,1022.2002313922098
W 47 St & 10 Ave,40.76269882,-73.99301222,13061,11095906,33380,61,849.5449046780492
W 49 St & 8 Ave,40.76227205,-73.98788205,14084,11936897,178627,61,847.550198807157
W 50 St & 9 Ave,40.76360467795863,-73.98917958140373,7286,9121402,2203917,63,1251.9080428218501
W 52 St & 11 Ave,40.76727216,-73.99392888,13313,16183800,926867,61,1215.6388492450988
W 52 St & 5 Ave,40.75992262,-73.97648516,16349,15061977,487654,61,921.2781821518136
W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,18602,16188580,408319,61,870.2601870766584
W 53 St & 10 Ave,40.76669671,-73.99061728,11445,10712784,347456,61,936.0230668414155
W 54 St & 9 Ave,40.76584941,-73.98690506,9901,8950862,116766,64,904.036157963842
W 55 St & 6 Ave,40.76309387270797,-73.97835016250609,4906,4609170,133243,61,939.4965348552793
W 56 St & 10 Ave,40.768254,-73.988639,9233,9837521,1424126,61,1065.4739521282356
W 59 St & 10 Ave,40.770513,-73.988038,9415,10513320,989084,61,1116.656399362719
W 63 St & Broadway,40.77163851,-73.98261428,12858,12122621,269242,61,942.8076683776637
W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747851,9299,9505132,236517,63,1022.1671147435208
W 67 St & Broadway,40.77492513,-73.98266566,10695,9081570,40005,62,849.1416549789622
W 70 St & Amsterdam Ave,40.77748046,-73.98288594,9203,7766285,132228,61,843.8862327501902
W 74 St & Columbus Ave,40.7785669,-73.97754961,5277,4702126,495384,61,891.0604510138336
W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,7788,9168444,1452150,61,1177.2526964560864
W 78 St & Broadway,40.78339981,-73.98093133,6198,5883671,57479,63,949.2854146498871
W 82 St & Central Park West,40.78275,-73.97137,8752,10111346,90229,62,1155.318327239488
W 84 St & Broadway,40.7867947,-73.977112,6814,7291131,244407,63,1070.0221602582917
W 84 St & Columbus Ave,40.78499979,-73.97283406,7433,6462853,138518,61,869.4810978070766
W 87 St & Amsterdam Ave,40.78839,-73.9747,5181,5511764,254363,61,1063.8417293958696
W 88 St & West End Ave,40.790254173304184,-73.97718340158461,4891,5492584,217030,66,1122.998159885504
W 89 St & Columbus Ave,40.7882213,-73.97041561,6868,6293680,57749,62,916.377402446127
W 90 St & Amsterdam Ave,40.79017948095081,-73.97288918495178,3767,3835751,211644,61,1018.2508627555084
W 92 St & Broadway,40.7921,-73.9739,4763,4437320,70297,62,931.6229267268528
W 95 St & Broadway,40.7937704,-73.971888,7892,8820266,829412,61,1117.6211353269134
W Broadway & Spring Street,40.72494672359416,-74.00165855884552,15011,16763686,1891712,63,1116.7601092532143
Warren St & Court St,40.686371,-73.99383324,3611,4214633,1214324,61,1167.1650512323456
Washington Ave & Greene Ave,40.68650065,-73.96563307,3548,4046780,659040,61,1140.5806087936867
Washington Ave & Park Ave,40.69610226,-73.96751037,4486,4478228,146895,63,998.2674988854213
Washington Park,40.6917823,-73.97372990000001,4108,4523519,638228,61,1101.1487341772151
Washington Pl & 6 Ave,40.73224119,-74.00026394,7155,7482095,1331627,61,1045.7155835080364
Washington Pl & Broadway,40.72903917,-73.99404649,11872,9295664,370096,63,782.9905660377359
Washington St & Gansevoort St,40.739323,-74.008119,22011,24409824,234579,61,1108.9829630639226
Water - Whitehall Plaza,40.70255065,-74.0127234,6059,6765346,119318,61,1116.5779831655389
Waterbury St & Stagg St,40.710190000000004,-73.93734,567,580123,56225,62,1023.1446208112875
Watts St & Greenwich St,40.72405549,-74.00965965,12472,10922213,130496,61,875.7386946760744
West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,11143,21382837,1832607,61,1918.9479493852643
West End Ave & W 107 St,40.8021174,-73.9681805305,3805,4670161,298339,63,1227.3747700394217
West End Ave & W 94 St,40.7941654,-73.974124,4887,6570955,570014,61,1344.5784735011255
West St & Chambers St,40.71754834,-74.01322069,33894,41958338,1180780,61,1237.9281878798608
West Thames St,40.70834698,-74.01713445,9084,8993341,898766,61,990.0199251431087
White St & Johnson Ave,40.707174,-73.93581,431,562587,34648,67,1305.30626450116
White St & Moore St,40.704508000000004,-73.9351,1505,1740386,37798,65,1156.402657807309
William St & Pine St,40.70717936,-74.00887308,6723,6785924,76727,61,1009.3595121225643
Willoughby Ave & Hall St,40.69196035,-73.96536851,5300,3951632,75208,61,745.5909433962264
Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,1954,4525137,1049633,73,2315.8326509723643
Willoughby Ave & Walworth St,40.69331716,-73.95381995,2220,2823538,215960,64,1271.863963963964
Willoughby Ave & Wyckoff Ave,40.705614000000004,-73.92153,1535,3760261,775791,72,2449.681433224756
Willoughby St & Fleet St,40.69196566,-73.9813018,7906,8083389,1476550,61,1022.4372628383506
Wolcott St & Dwight St,40.6753274,-74.0100698,805,648177,22021,79,805.1888198757764
Wyckoff Av & Jefferson St,40.707165,-73.923711,2335,6367573,2678003,69,2727.0119914346897
Wyckoff St & 3 Ave,40.6827549,-73.98258555,3158,7328426,2192020,61,2320.5908803039897
Wyckoff St & Bond St,40.68461653897949,-73.98721285164356,1121,921950,11702,62,822.4353256021409
Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,11537,12265206,273408,62,1063.1191817630233
Yankee Ferry Terminal,40.686931,-74.016966,3848,9224421,1320366,61,2397.1988045738044
